"source","target","value"
"Nousiainen","Helsinki",1
"Nousiainen","Laitila",5
"Nousiainen","Lappeenranta",1
"Nousiainen","Masku",1
"Nousiainen","Mynämäki",1
"Nousiainen","Naantali",1
"Nousiainen","Paimio",4
"Nousiainen","Pöytyä",1
"Nousiainen","Raisio",3
"Nousiainen","Rauma",1
"Nousiainen","Tampere",1
"Nousiainen","Turku",4
"Espoo","Nousiainen",1
"Helsinki","Nousiainen",3
"Kaarina","Nousiainen",2
"Kuopio","Nousiainen",1
"Masku","Nousiainen",1
"Mynämäki","Nousiainen",6
"Naantali","Nousiainen",3
"Raisio","Nousiainen",1
"Turku","Nousiainen",7
