"age","sex","category","population"
0,"Miehet","v1990",31
0,"Miehet","v2010",36
0,"Miehet","v2024",20
1,"Miehet","v1990",28
1,"Miehet","v2010",34
1,"Miehet","v2024",20
2,"Miehet","v1990",29
2,"Miehet","v2010",33
2,"Miehet","v2024",19
3,"Miehet","v1990",36
3,"Miehet","v2010",40
3,"Miehet","v2024",31
4,"Miehet","v1990",26
4,"Miehet","v2010",41
4,"Miehet","v2024",18
5,"Miehet","v1990",31
5,"Miehet","v2010",42
5,"Miehet","v2024",28
6,"Miehet","v1990",35
6,"Miehet","v2010",33
6,"Miehet","v2024",27
7,"Miehet","v1990",32
7,"Miehet","v2010",50
7,"Miehet","v2024",25
8,"Miehet","v1990",36
8,"Miehet","v2010",35
8,"Miehet","v2024",27
9,"Miehet","v1990",35
9,"Miehet","v2010",39
9,"Miehet","v2024",38
10,"Miehet","v1990",42
10,"Miehet","v2010",29
10,"Miehet","v2024",23
11,"Miehet","v1990",27
11,"Miehet","v2010",38
11,"Miehet","v2024",46
12,"Miehet","v1990",37
12,"Miehet","v2010",32
12,"Miehet","v2024",22
13,"Miehet","v1990",30
13,"Miehet","v2010",46
13,"Miehet","v2024",36
14,"Miehet","v1990",34
14,"Miehet","v2010",35
14,"Miehet","v2024",38
15,"Miehet","v1990",34
15,"Miehet","v2010",45
15,"Miehet","v2024",43
16,"Miehet","v1990",22
16,"Miehet","v2010",29
16,"Miehet","v2024",38
17,"Miehet","v1990",26
17,"Miehet","v2010",36
17,"Miehet","v2024",39
18,"Miehet","v1990",29
18,"Miehet","v2010",40
18,"Miehet","v2024",32
19,"Miehet","v1990",32
19,"Miehet","v2010",40
19,"Miehet","v2024",37
20,"Miehet","v1990",20
20,"Miehet","v2010",22
20,"Miehet","v2024",25
21,"Miehet","v1990",21
21,"Miehet","v2010",16
21,"Miehet","v2024",18
22,"Miehet","v1990",30
22,"Miehet","v2010",12
22,"Miehet","v2024",13
23,"Miehet","v1990",29
23,"Miehet","v2010",18
23,"Miehet","v2024",12
